wai_gi,age,wgt,hgt,sex,y_hat,a,b,chunk
93.8,30,91.1,175.3,1,85.89098932576522,159.88222587381426,-47.418594735616296,2.0
90.8,42,81.8,175.3,1,83.23409647766519,163.44689977851533,-66.38603262986283,2.0
85.4,44,75.5,179.1,1,80.14010489657824,157.7698265228803,-69.5472722789039,2.0
91.6,46,84.5,181.6,1,86.7418164836339,172.29257206055127,-72.70851192794498,2.0
86.1,43,85.0,182.9,1,82.448462106628,168.991948074717,-67.96665245438334,2.0
113.2,28,102.5,177.8,1,104.183029444461,172.29257206055127,-44.2573550865752,2.0
79.5,39,77.3,184.2,1,77.18091368531873,153.5450278210124,-61.644173156301186,2.0
97.9,36,87.9,176.5,1,90.05526007464007,163.57892473794874,-56.902313682739546,2.0
86.1,48,70.9,174.0,1,78.494015171131,156.97767676628007,-75.86975157698606,2.0
84.9,53,64.5,167.6,1,74.58761079737633,155.12932733421286,-83.77285069958876,2.0
92.2,45,77.3,170.2,1,82.20794841677463,161.46652538701477,-71.12789210342443,2.0
83.7,39,72.3,167.6,1,73.5248536581363,146.94377984934374,-61.644173156301164,2.0
97.8,43,87.3,188.0,1,95.07637560422197,172.02852214168453,-67.96665245438334,2.0
89.5,45,82.3,176.5,1,82.61596009996,168.06777335868335,-71.12789210342444,2.0
82.9,37,73.6,180.3,1,78.45921137963305,146.01960513331014,-58.4829335072601,2.0
90.1,55,74.1,167.6,1,79.19289173408302,170.44422262848406,-86.93409034862987,2.0
78.9,33,85.9,188.0,1,78.33795066119183,156.97767676628007,-52.16045420917794,2.0
94.3,35,76.3,167.6,1,82.91254172142305,146.94377984934374,-55.321693858219,2.0
83.6,26,90.9,183.0,1,80.27881672125059,154.33717757761264,-41.09611543753412,2.0
85.0,26,82.7,177.8,1,79.20823667232077,143.51113090407605,-41.09611543753413,2.0
85.7,51,79.1,179.1,1,80.40579418138825,171.7644722228178,-80.6116110505477,2.0
96.5,30,98.2,190.5,1,95.0358550710276,169.25599799358372,-47.41859473561632,2.0
86.3,35,83.2,180.3,1,81.47035660747974,156.05350205024644,-55.321693858218985,2.0
83.2,37,83.2,180.3,1,78.72490066444306,158.69400123891393,-58.48293350726011,2.0
90.5,40,75.2,160.2,0,76.25917699892207,152.09275326724526,-63.2247929808217,2.0
74.0,37,73.2,175.0,0,68.22220056418718,145.49150529557664,-58.4829335072601,2.0
85.0,29,87.8,176.5,0,78.63062082780996,154.20515261817923,-45.837974911095735,2.0
96.3,41,80.0,161.0,0,81.75129240956312,159.75020091438088,-64.80541280534226,2.0
83.0,47,75.7,174.0,0,75.74855922809434,161.99462522474823,-74.28913175246552,2.0
66.6,49,62.5,169.0,0,59.00261225651624,147.20782976821047,-77.4503714015066,2.0
78.5,41,70.6,170.0,0,69.9859404343726,147.33985472764385,-64.80541280534226,2.0
93.4,41,84.5,162.6,0,79.89387446502843,165.69132408888265,-64.80541280534226,2.0
85.6,36,76.4,167.6,0,75.20755246193298,148.39605440311084,-56.90231368273954,2.0
73.7,64,58.6,156.2,0,59.603297527990264,161.86260026531485,-101.15966876931473,2.0
83.6,29,81.8,182.9,0,80.2343847332113,146.28365505217687,-45.83797491109575,2.0
84.9,40,70.7,166.4,0,74.05442694090482,146.1516300927435,-63.22479298082171,2.0
73.6,44,72.7,175.3,0,68.00124414855838,154.07312765874588,-69.54727227890388,2.0
72.7,52,63.2,164.5,0,62.40552158588483,152.09275326724529,-82.19223087506822,2.0
71.7,41,70.5,162.6,0,60.67568286377161,147.2078297682105,-64.80541280534227,2.0
88.2,26,86.3,165.1,0,76.39939322930402,148.2640294436775,-41.096115437534124,2.0
81.5,44,67.3,152.4,0,64.82280338755723,146.94377984934374,-69.54727227890389,2.0
80.5,41,77.3,170.2,0,71.84606630918452,156.18552700967984,-64.80541280534226,2.0
86.1,33,80.5,160.0,0,72.2735368456301,149.84832895687794,-52.16045420917792,2.0
94.2,37,81.8,162.6,0,80.60237922452177,156.8456518068467,-58.4829335072601,2.0
72.3,56,63.6,162.6,0,61.2070614333916,157.90185148231367,-88.5147101731504,2.0
79.6,34,75.5,160.0,0,66.51693567474672,144.56733057954304,-53.74107403369848,2.0
86.0,40,76.8,157.5,0,71.07417404971116,154.20515261817926,-63.22479298082174,2.0
